WI,WO,FRAC_W,ACC_W,CORDIC_STAGES,max_eig_rmse,max_vec_rmse,overflow,pass,area_proxy,cycle_proxy,at_proxy
17,17,8,27,10,0.113138568110603,0.0546599974053039,0,0,1398,1015,1418970
17,17,8,27,11,0.141972829104309,0.0527038836907187,0,0,1404,1099,1542996
17,17,8,27,12,0.113083989075969,0.0642234270328539,0,0,1410,1183,1668030
17,17,8,27,13,0.150354449403871,0.0820765859815103,0,0,1416,1267,1794072
17,17,8,27,14,0.160677603753731,0.0698326992700785,0,0,1422,1351,1921122
17,17,8,27,15,0.14311576354419,0.0619969491617966,0,0,1428,1435,2049180
17,17,8,27,16,0.151314293524123,0.08754209609522,0,0,1434,1519,2178246
17,17,8,28,8,0.0798969197175525,0.0602749667984638,0,0,1428,847,1209516
17,17,8,28,9,0.0605747653624792,0.0530537780697017,0,0,1434,931,1335054
17,17,8,28,10,0.113138568110603,0.0546599974053039,0,0,1440,1015,1461600
17,17,8,28,11,0.141972829104309,0.0527038836907187,0,0,1446,1099,1589154
17,17,8,28,12,0.113083989075969,0.0642234270328539,0,0,1452,1183,1717716
17,17,8,28,13,0.150354449403871,0.0820765859815103,0,0,1458,1267,1847286
17,17,8,28,14,0.160677603753731,0.0698326992700785,0,0,1464,1351,1977864
17,17,8,28,15,0.14311576354419,0.0619969491617966,0,0,1470,1435,2109450
17,17,8,28,16,0.151314293524123,0.08754209609522,0,0,1476,1519,2242044
17,17,8,29,8,0.0798969197175525,0.0602749667984638,0,0,1470,847,1245090
17,17,8,29,9,0.0605747653624792,0.0530537780697017,0,0,1476,931,1374156
17,17,8,29,10,0.113138568110603,0.0546599974053039,0,0,1482,1015,1504230
17,17,8,29,11,0.141972829104309,0.0527038836907187,0,0,1488,1099,1635312
17,17,8,29,12,0.113083989075969,0.0642234270328539,0,0,1494,1183,1767402
17,17,8,29,13,0.150354449403871,0.0820765859815103,0,0,1500,1267,1900500
17,17,8,29,14,0.160677603753731,0.0698326992700785,0,0,1506,1351,2034606
17,17,8,29,15,0.14311576354419,0.0619969491617966,0,0,1512,1435,2169720
17,17,8,29,16,0.151314293524123,0.08754209609522,0,0,1518,1519,2305842
17,17,8,30,8,0.0798969197175525,0.0602749667984638,0,0,1512,847,1280664
17,17,8,30,9,0.0605747653624792,0.0530537780697017,0,0,1518,931,1413258
17,17,8,30,10,0.113138568110603,0.0546599974053039,0,0,1524,1015,1546860
17,17,8,30,11,0.141972829104309,0.0527038836907187,0,0,1530,1099,1681470
17,17,8,30,12,0.113083989075969,0.0642234270328539,0,0,1536,1183,1817088
17,17,8,30,13,0.150354449403871,0.0820765859815103,0,0,1542,1267,1953714
17,17,8,30,14,0.160677603753731,0.0698326992700785,0,0,1548,1351,2091348
17,17,8,30,15,0.14311576354419,0.0619969491617966,0,0,1554,1435,2229990
17,17,8,30,16,0.151314293524123,0.08754209609522,0,0,1560,1519,2369640
17,17,8,31,8,0.0798969197175525,0.0602749667984638,0,0,1554,847,1316238
17,17,8,31,9,0.0605747653624792,0.0530537780697017,0,0,1560,931,1452360
17,17,8,31,10,0.113138568110603,0.0546599974053039,0,0,1566,1015,1589490
17,17,8,31,11,0.141972829104309,0.0527038836907187,0,0,1572,1099,1727628
17,17,8,31,12,0.113083989075969,0.0642234270328539,0,0,1578,1183,1866774
17,17,8,31,13,0.150354449403871,0.0820765859815103,0,0,1584,1267,2006928
17,17,8,31,14,0.160677603753731,0.0698326992700785,0,0,1590,1351,2148090
17,17,8,31,15,0.14311576354419,0.0619969491617966,0,0,1596,1435,2290260
17,17,8,31,16,0.151314293524123,0.08754209609522,0,0,1602,1519,2433438
